datetime,Buenos Aires,Capital Federal,Catamarca,Chaco,Chubut,Corrientes,Córdoba,Entre Ríos,Formosa,Jujuy,La Pampa,La Rioja,Mendoza,Misiones,Neuquén,Río Negro,Salta,San Juan,San Luis,Santa Cruz,Santa Fe,Santiago Del Estero,Tierra Del Fuego,Tucumán,Año
2014-3,308,57,1,74,-196,94,147,85,132,-180,1222,3,67,85,1092,190,107,26,-7,-390,166,-122,206,0,201400
2014-4,-115,96,327,359,-86,340,85,298,104,670,-808,305,101,252,-681,-155,107,66,77,-152,163,471,69,405,201400
2015-1,49,0,-158,2185,-655,2287,0,1677,93,46,826,-181,-83,886,-113,-33,161,-173,-72,69,49,-124,1224,-69,201500
2015-2,77,102,137,306,-274,219,214,206,131,303,216,108,39,396,224,143,150,33,-8,-330,186,32,37,174,201500
2015-3,156,192,161,182,63,197,217,174,260,484,222,159,0,351,279,90,235,8,-2,197,189,5,47,259,201500
2015-4,105,-13,145,139,21,56,49,99,121,95,137,96,-1,134,676,11,134,0,-1,50,89,-67,-1122,123,201500
2016-1,-164,-250,-125,-97,-216,-84,-363,-60,-12,-28,-156,-279,-112,-111,-434,-130,-88,-121,-123,-317,-252,-470,-95,-91,201600
2016-2,349,424,63,185,9,166,409,204,172,223,449,27,1,307,600,88,245,4,18,-51,225,-196,286,139,201600
2016-3,136,61,156,111,15,159,121,156,-377,328,214,115,-12,227,189,32,272,-9,28,40,45,-352,180,178,201600
2016-4,182,-12,24,-43,-28,-28,-94,-50,648,20,208,-363,6,-62,109,-1,-79,-9,11,79,-91,-171,198,22,201600
2017-1,-434,-1016,-333,-56,-113,-13,-8,-67,-3,47,-55,-158,-82,-67,25,-77,-36,-94,-99,-193,-42,-243,-197,-21,201700
2017-2,-393,1448,124,148,-33,144,229,107,62,-155,132,5,-27,192,145,-2,50,-27,-33,-104,57,-397,-66,75,201700
2017-3,-113,-178,2508,320,3002,248,565,125,694,108,889,21762,1243,39,-174,543,2169,2003,6269,2683,1652,14875,-398,395,201700
2017-4,356,85,-1191,278,1135,109,165,419,-37,43,276,20,-666,310,68,177,-11,-639,-3160,-1315,132,-1707,-889,51,201700
2018-1,871,-1356,1458,7,438,46,28,166,63,167,99,-24,1124,-60,45,89,-5,762,4309,1605,92,2013,886,321,201800
2018-2,25,28,19,137,221,351,-38,107,3752,134,-99,-91,-27,218,-208,66,41,103,1,-66,46,77,4050,82,201800
2018-3,264,179,18,330,271,130,153,206,48,-72,100,-48,275,149,41,79,-128,32,24556,-181,134,282,127,41,201800
2018-4,25,-16,-210,95,-2444,92,132,827,54,10002,243,-76,-61,731,-234,261,95,-350,2903,-2762,343,318,88,18,201800
2019-1,254,85,-11,14,91,165,66,444,-20,-27,389,-32,-27,524,-32,330,75,-20,-31,-9,211,32,-23,-30,201900
2019-2,242,124,-18,461,927,860,390,122,250,-409,95,-295,823,797,714,1404,448,1183,2146,2188,67,4070,152,-359,201900
2019-3,222,190,-388,500,123,86,77,73,-101,-43,48,-156,-4,48,168,381,617,411,420,2351,215,476,176,-162,201900
2019-4,-736,-568,1798,276,752,73,276,16,119,238,-68,-168,-1739,115,-746,-1217,1322,-1135,-1209,304,89,-2239,-1738,2067,201900
2020-1,11,-25,323,176,24,-10,28,-323,-80,285,-150,-167,-151,-194,420,-106,-151,-141,185,-200,6,-106,-455,42,202000
2020-2,139,41,2078,627,1185,407,287,75,301,261,44,754,938,479,332,227,400,834,275,-50,69,236,39,822,202000
2020-3,373,119,380,429,1918,359,345,292,246,1286,416,56,302,175,211,121,142,1053,198,44,303,-21,57,280,202000
2020-4,195,59,476,358,1,162,380,221,182,-109,316,-1,343,250,269,707,330,-637,215,292,202,86,-71,292,202000
2021-1,19,10,-103,25,94,56,65,162,76,407,1,-61,136,124,-24,-34,-21,753,-54,1256,46,440,142,6,202100
2021-2,130,159,704,44,478,206,194,202,150,99,37,5455,465,426,344,175,185,59,276,568,156,194,-1223,20,202100
2021-3,240,102,71,-84,1164,312,146,84,222,-88,268,37,1117,124,82,4,188,44,-432,-61,-7,95,3986,-53,202100
2021-4,555,0,482,252,231,136,397,157,145,221,627,86,430,767,516,602,152,34,53,-159,276,10,363,236,202100
2022-1,55,47,535,2,664,469,148,86,145,200,234,109,259,-4,119,204,-124,1000,53,67,28,27,-11,262,202200
2022-2,197,851,720,-61,-552,148,200,31,2421,-128,144,173,134,399,788,121,254,1358,128,-43,77,112,160,335,202200
2022-3,68,80,470,16,143,-28,95,-36,78,277,388,65,332,161,44,19,38,271,-2,9,83,59,-35,309,202200
2022-4,106,37,67,-55,141,711,82,53,-994,-76,-185,-99,65,199,-212,65,35,16,1044,79,-19,15,194,-16,202200
2023-1,8,-11,61,-108,37,79,-21,122,-157,-44,185,-15,8,212,-15,108,-50,-222,-11,-25,-34,-104,275,-114,202300
2023-2,85,-580,189,-65,-396,61,145,-56,-121,-72,186,34,134,224,53,-87,-33,-448,359,-405,90,-86,206,68,202300
2023-3,122,80,168,0,211,78,-9,684,141,-28,66,54,-12,60,127,-23,16,617,550,-185,33,325,-40,84,202300
2023-4,40,53,12,345,87,-42,69,160,95,30,97,-27,23,137,-8,272,-102,-73,357,8036,83,84,429,-36,202300
2024-1,17,214,28,530,-8,-118,3,-90,97,-22,53,-24,84,87,-51,125,-119,308,62,-836,82,67,-64,-92,202400
2024-2,-155,-264,-1,-565,170,-108,10,-97,20,112,68,-64,-55,171,-72,30,-103,-87,68,346,117,53,-81,60,202400
